Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-38,97612;63,69849
0,02000;-38,97600;63,92020
0,04000;-38,97546;64,34874
0,06000;-38,97432;67,32333
0,08000;-38,97289;74,11269
0,10000;-38,97127;83,39456
0,12000;-38,96954;94,90416
0,14000;-38,96763;107,84976
0,16000;-38,96578;122,17328
0,18000;-38,96392;136,48177
0,20000;-38,96195;150,71462
0,22000;-38,96004;165,21148
0,24000;-38,95812;178,09210
0,26000;-38,95621;145,10184
0,28000;-38,95441;75,03201
0,30000;-38,95250;46,09851
0,32000;-38,95065;52,08675
0,34000;-38,94892;68,22306
0,36000;-38,94706;84,17536
0,38000;-38,94533;97,90401
0,40000;-38,94359;111,03131
0,42000;-38,94180;124,59984
0,44000;-38,94006;138,37379
0,46000;-38,93833;152,65961
0,48000;-38,93659;166,04594
0,50000;-38,93486;179,34913
0,52000;-38,93325;192,15826
0,54000;-38,93145;204,05496
0,56000;-38,92978;216,87469
0,58000;-38,92811;229,29122
0,60000;-38,92637;240,73494
0,62000;-38,92470;251,72166
0,64000;-38,92308;262,29073
0,66000;-38,92141;272,57570
0,68000;-38,91974;283,56430
0,70000;-38,91806;294,57300
0,72000;-38,91639;305,19343
0,74000;-38,91465;316,32276
0,76000;-38,91304;327,24361
0,78000;-38,91143;337,88937
0,80000;-38,90969;348,72186
0,82000;-38,90808;359,21519
0,84000;-38,90634;369,68277
0,86000;-38,90467;380,64122
0,88000;-38,90306;391,25658
0,90000;-38,90144;401,61898
0,92000;-38,89971;411,63750
0,94000;-38,89809;421,26146
0,96000;-38,89636;431,58997
0,98000;-38,89468;442,03107
1,00000;-38,89301;451,69573
1,02000;-38,89140;461,98820
1,04000;-38,88967;471,99442
1,06000;-38,88805;481,80781
1,08000;-38,88631;491,24407
1,10000;-38,88464;501,28959
1,12000;-38,88297;511,34634
1,14000;-38,88135;521,67815
1,16000;-38,87968;531,73862
1,18000;-38,87800;540,67732
1,20000;-38,87633;549,48791
1,22000;-38,87465;559,13012
1,24000;-38,87298;568,77392
1,26000;-38,87131;578,43598
1,28000;-38,86969;587,49658
1,30000;-38,86796;596,80576
1,32000;-38,86634;606,72425
1,34000;-38,86467;616,67981
1,36000;-38,86294;626,87816
1,38000;-38,86126;636,47223
1,40000;-38,85965;645,85209
1,42000;-38,85803;654,95702
1,44000;-38,85636;663,75374
1,46000;-38,85475;672,99972
1,48000;-38,85307;682,74289
1,50000;-38,85134;692,04126
1,52000;-38,84972;701,98178
1,54000;-38,84805;711,10534
1,56000;-38,84638;719,42895
1,58000;-38,84476;728,11008
1,60000;-38,84309;737,19909
1,62000;-38,84135;746,25118
1,64000;-38,83968;755,87281
1,66000;-38,83800;765,82525
1,68000;-38,83633;775,28893
1,70000;-38,83466;784,31368
1,72000;-38,83298;793,02788
1,74000;-38,83131;801,13895
1,76000;-38,82969;809,21585
1,78000;-38,82808;818,03966
1,80000;-38,82647;826,85985
1,82000;-38,82479;835,80939
1,84000;-38,82306;844,28638
1,86000;-38,82138;852,65022
1,88000;-38,81971;860,26397
1,90000;-38,81809;867,39054
1,92000;-38,81666;874,81821
1,94000;-38,81463;883,66289
1,96000;-38,81295;893,90464
1,98000;-38,81128;902,50503
2,00000;-38,80966;909,26439
2,02000;-38,80811;915,75980
2,04000;-38,80643;922,53387
2,06000;-38,80476;930,31144
2,08000;-38,80309;938,62945
2,10000;-38,80141;946,79035
2,12000;-38,79974;954,41435
2,14000;-38,79806;962,26567
2,16000;-38,79645;970,14876
2,18000;-38,79484;977,40050
2,20000;-38,79310;985,36843
2,22000;-38,79143;993,88519
2,24000;-38,78963;1002,07198
2,26000;-38,78796;1009,90823
2,28000;-38,78641;1017,20989
2,30000;-38,78473;1024,04635
2,32000;-38,78312;1031,64138
2,34000;-38,78145;1039,66882
2,36000;-38,77971;1047,86158
2,38000;-38,77798;1055,95822
2,40000;-38,77636;1063,71278
2,42000;-38,77469;1070,14161
2,44000;-38,77307;1076,75623
2,46000;-38,77146;1083,79396
2,48000;-38,76979;1090,41082
2,50000;-38,76799;1098,59621
2,52000;-38,76632;1107,10645
2,54000;-38,76470;1114,38222
2,56000;-38,76303;1122,11686
2,58000;-38,76141;1128,67346
2,60000;-38,75974;1135,13106
2,62000;-38,75806;1142,50453
2,64000;-38,75639;1150,05579
2,66000;-38,75478;1157,04145
2,68000;-38,75304;1163,49515
2,70000;-38,75137;1169,40802
2,72000;-38,74975;1175,37947
2,74000;-38,74808;1182,74046
2,76000;-38,74641;1189,40240
2,78000;-38,74467;1197,01037
2,80000;-38,74300;1204,90026
2,82000;-38,74132;1211,78189
2,84000;-38,73965;1218,31885
2,86000;-38,73804;1224,64662
2,88000;-38,73636;1230,71456
2,90000;-38,73475;1236,92043
2,92000;-38,73307;1243,61226
2,94000;-38,73134;1250,00458
2,96000;-38,72973;1257,00757
2,98000;-38,72805;1263,31411
3,00000;-38,72638;1269,65037
3,02000;-38,72477;1276,08320
3,04000;-38,72309;1282,06033
3,06000;-38,72136;1288,44399
3,08000;-38,71968;1295,94309
3,10000;-38,71801;1303,47200
3,12000;-38,71633;1310,21701
3,14000;-38,71466;1316,33589
3,16000;-38,71311;1321,36894
3,18000;-38,71143;1326,40004
3,20000;-38,70970;1333,42491
3,22000;-38,70802;1340,13044
3,24000;-38,70629;1346,38697
3,26000;-38,70461;1352,76895
3,28000;-38,70300;1359,06702
3,30000;-38,70138;1364,56015
3,32000;-38,69971;1369,36242
3,34000;-38,69798;1375,39841
3,36000;-38,69630;1381,34928
3,38000;-38,69457;1387,58076
3,40000;-38,69295;1394,24298
3,42000;-38,69134;1399,56782
3,44000;-38,68967;1404,49116
3,46000;-38,68799;1409,74047
3,48000;-38,68632;1415,63071
3,50000;-38,68464;1421,48379
3,52000;-38,68297;1427,67578
3,54000;-38,68130;1433,24155
3,56000;-38,67968;1438,09905
3,58000;-38,67801;1443,88815
3,60000;-38,67633;1449,97230
3,62000;-38,67466;1455,14030
3,64000;-38,67293;1460,49811
3,66000;-38,67131;1466,40306
3,68000;-38,66964;1471,39262
3,70000;-38,66796;1476,24919
3,72000;-38,66641;1480,62510
3,74000;-38,66468;1485,86184
3,76000;-38,66300;1491,40880
3,78000;-38,66133;1496,81196
3,80000;-38,65971;1501,92529
3,82000;-38,65798;1506,90759
3,84000;-38,65642;1511,35325
3,86000;-38,65469;1516,21746
3,88000;-38,65296;1522,26230
3,90000;-38,65134;1528,34589
3,92000;-38,64967;1533,19743
3,94000;-38,64799;1537,66572
3,96000;-38,64626;1542,04834
3,98000;-38,64464;1547,04098
4,00000;-38,64291;1551,56925
4,02000;-38,64136;1555,74698
4,04000;-38,63974;1560,66623
4,06000;-38,63801;1565,07194
4,08000;-38,63633;1570,00963
4,10000;-38,63466;1574,44570
4,12000;-38,63298;1578,80951
4,14000;-38,63149;1583,21299
4,16000;-38,62976;1588,26616
4,18000;-38,62802;1592,69217
4,20000;-38,62641;1597,79489
4,22000;-38,62474;1602,40382
4,24000;-38,62306;1606,31910
4,26000;-38,62133;1610,41562
4,28000;-38,61971;1614,78072
4,30000;-38,61810;1618,61815
4,32000;-38,61642;1623,05310
4,34000;-38,61475;1626,97900
4,36000;-38,61308;1631,32604
4,38000;-38,61134;1635,45832
4,40000;-38,60973;1639,48312
4,42000;-38,60805;1643,26020
4,44000;-38,60644;1646,34790
4,46000;-38,60476;1650,33415
4,48000;-38,60309;1654,41576
4,50000;-38,60136;1658,61826
4,52000;-38,59968;1662,52442
4,54000;-38,59807;1666,00235
4,56000;-38,59639;1669,46184
4,58000;-38,59472;1673,30336
4,60000;-38,59305;1677,71615
4,62000;-38,59131;1681,33043
4,64000;-38,58964;1684,88510
4,66000;-38,58802;1688,50888
4,68000;-38,58635;1691,89032
4,70000;-38,58468;1695,68956
4,72000;-38,58300;1699,51487
4,74000;-38,58139;1702,97492
4,76000;-38,57971;1706,49681
4,78000;-38,57804;1710,63095
4,80000;-38,57643;1714,75504
4,82000;-38,57475;1718,40321
4,84000;-38,57302;1721,69693
4,86000;-38,57140;1725,24415
4,88000;-38,56973;1729,37941
4,90000;-38,56806;1733,08477
4,92000;-38,56638;1738,01966
4,94000;-38,56471;1742,44940
4,96000;-38,56303;1745,53022
4,98000;-38,56136;1748,85876
5,00000;-38,55969;1752,47304
5,02000;-38,55807;1756,38124
5,04000;-38,55646;1759,74220
5,06000;-38,55478;1762,75298
5,08000;-38,55305;1766,61257
5,10000;-38,55137;1770,49711
5,12000;-38,54970;1774,40736
5,14000;-38,54803;1777,93968
5,16000;-38,54641;1781,69534
5,18000;-38,54474;1784,84153
5,20000;-38,54306;1788,25967
5,22000;-38,54127;1792,79726
5,24000;-38,53959;1798,26636
5,26000;-38,53792;1802,03188
5,28000;-38,53631;1804,91600
5,30000;-38,53469;1807,53749
5,32000;-38,53302;1810,67418
5,34000;-38,53134;1813,87365
5,36000;-38,52967;1818,02567
5,38000;-38,52800;1821,57587
5,40000;-38,52632;1825,57926
5,42000;-38,52477;1828,98641
5,44000;-38,52309;1832,51649
5,46000;-38,52142;1836,25370
5,48000;-38,51975;1840,08814
5,50000;-38,51801;1844,00510
5,52000;-38,51628;1848,26981
5,54000;-38,51472;1852,12102
5,56000;-38,51299;1855,90908
5,58000;-38,51138;1859,30990
5,60000;-38,50976;1862,66471
5,62000;-38,50815;1865,85262
5,64000;-38,50629;1869,69731
5,66000;-38,50468;1874,55714
5,68000;-38,50301;1878,81701
5,70000;-38,50133;1882,31040
5,72000;-38,49966;1884,74283
5,74000;-38,49798;1887,92720
5,76000;-38,49631;1891,02814
5,78000;-38,49469;1894,41647
5,80000;-38,49302;1898,36174
5,82000;-38,49135;1901,72065
5,84000;-38,48991;1904,95998
5,86000;-38,48788;1908,71377
5,88000;-38,48620;1913,65760
5,90000;-38,48465;1917,97577
5,92000;-38,48298;1921,00313
5,94000;-38,48130;1923,40314
5,96000;-38,47969;1926,56759
5,98000;-38,47801;1929,72105
6,00000;-38,47628;1932,55115
6,02000;-38,47460;1935,65525
6,04000;-38,47305;1938,37732
6,06000;-38,47137;1940,84179
6,08000;-38,46970;1943,97196
6,10000;-38,46815;1947,19657
6,12000;-38,46623;1950,98966
6,14000;-38,46456;1956,28442
6,16000;-38,46300;1959,80035
6,18000;-38,46139;1961,34988
6,20000;-38,45972;1963,58766
6,22000;-38,45804;1966,65097
6,24000;-38,45637;1970,22147
6,26000;-38,45463;1973,87654
6,28000;-38,45302;1976,54832
6,30000;-38,45135;1979,33372
6,32000;-38,44973;1982,15805
6,34000;-38,44806;1984,81325
6,36000;-38,44650;1987,22575
6,38000;-38,44459;1990,07411
6,40000;-38,44292;1994,04322
6,42000;-38,44130;1997,46136
6,44000;-38,43969;1999,80177
6,46000;-38,43807;2001,53831
6,48000;-38,43640;2004,36562
6,50000;-38,43472;2007,81487
6,52000;-38,43299;2011,20228
6,54000;-38,43149;2014,35704
6,56000;-38,42970;2016,81145
6,58000;-38,42797;2020,07908
6,60000;-38,42635;2023,24595
6,62000;-38,42468;2025,91233
6,64000;-38,42301;2028,53754
6,66000;-38,42139;2030,78594
6,68000;-38,41972;2033,27611
6,70000;-38,41792;2037,17519
6,72000;-38,41631;2040,07085
6,74000;-38,41463;2042,00875
6,76000;-38,41302;2044,36202
6,78000;-38,41141;2047,04460
6,80000;-38,40973;2049,72737
6,82000;-38,40806;2052,88883
6,84000;-38,40632;2056,53682
6,86000;-38,40465;2059,93410
6,88000;-38,40292;2062,74092
6,90000;-38,40130;2065,19179
6,92000;-38,39969;2067,69835
6,94000;-38,39801;2070,40776
6,96000;-38,39640;2073,06948
6,98000;-38,39467;2076,29595
7,00000;-38,39299;2079,27339
7,02000;-38,39132;2083,12962
7,04000;-38,38976;2085,58738
7,06000;-38,38815;2087,39452
7,08000;-38,38653;2089,85563
7,10000;-38,38480;2092,84518
7,12000;-38,38307;2096,41177
7,14000;-38,38139;2099,81501
7,16000;-38,37972;2103,38831
7,18000;-38,37810;2105,61398
7,20000;-38,37649;2108,00134
7,22000;-38,37469;2112,00621
7,24000;-38,37302;2115,55380
7,26000;-38,37135;2118,91532
7,28000;-38,36967;2121,63758
7,30000;-38,36800;2124,36225
7,32000;-38,36632;2127,02509
7,34000;-38,36471;2129,28336
7,36000;-38,36303;2132,13805
7,38000;-38,36136;2135,13803
7,40000;-38,35969;2138,03798
7,42000;-38,35801;2141,14785
7,44000;-38,35634;2144,23742
7,46000;-38,35473;2146,69164
7,48000;-38,35311;2149,06503
7,50000;-38,35132;2152,05010
7,52000;-38,34964;2155,48743
7,54000;-38,34803;2158,64759
7,56000;-38,34636;2161,00328
7,58000;-38,34468;2162,99333
7,60000;-38,34301;2164,99213
7,62000;-38,34133;2167,38731
7,64000;-38,33972;2169,26951
7,66000;-38,33805;2172,50995
7,68000;-38,33637;2175,43244
7,70000;-38,33482;2178,25565
7,72000;-38,33308;2181,43985
7,74000;-38,33129;2185,32383
7,76000;-38,32961;2188,75688
7,78000;-38,32800;2191,33813
7,80000;-38,32638;2193,53922
7,82000;-38,32471;2195,72745
7,84000;-38,32304;2198,01106
7,86000;-38,32136;2200,06201
7,88000;-38,31969;2202,71461
7,90000;-38,31801;2205,56483
7,92000;-38,31640;2208,32173
7,94000;-38,31472;2210,72901
7,96000;-38,31299;2213,64181
7,98000;-38,31132;2216,89437
8,00000;-38,30964;2220,00182
8,02000;-38,30797;2223,16273
8,04000;-38,30635;2226,02282
8,06000;-38,30474;2228,72365
8,08000;-38,30325;2230,99943
8,10000;-38,30121;2235,40571
