Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-0,12640;43,49116
0,02000;-0,12634;43,72182
0,04000;-0,12592;43,86879
0,06000;-0,12508;44,43121
0,08000;-0,12382;47,72495
0,10000;-0,12233;53,99386
0,12000;-0,12072;60,61695
0,14000;-0,11904;67,77174
0,16000;-0,11713;75,85587
0,18000;-0,11515;84,82349
0,20000;-0,11318;94,36582
0,22000;-0,11127;104,91140
0,24000;-0,10935;113,91668
0,26000;-0,10750;122,45924
0,28000;-0,10565;131,09948
0,30000;-0,10379;139,45826
0,32000;-0,10194;148,30474
0,34000;-0,10009;157,07834
0,36000;-0,09841;164,75880
0,38000;-0,09662;172,45277
0,40000;-0,09489;180,81286
0,42000;-0,09315;188,43793
0,44000;-0,09136;196,70685
0,46000;-0,08968;204,87818
0,48000;-0,08795;212,35601
0,50000;-0,08622;220,16151
0,52000;-0,08448;228,42770
0,54000;-0,08281;236,44690
0,56000;-0,08107;243,60879
0,58000;-0,07934;251,51283
0,60000;-0,07773;259,65380
0,62000;-0,07605;267,41954
0,64000;-0,07438;275,27206
0,66000;-0,07270;283,60386
0,68000;-0,07103;291,78618
0,70000;-0,06936;299,98762
0,72000;-0,06774;308,12067
0,74000;-0,06601;316,18490
0,76000;-0,06433;325,13714
0,78000;-0,06266;333,77649
0,80000;-0,06093;342,48885
0,82000;-0,05925;351,27706
0,84000;-0,05764;359,15505
0,86000;-0,05596;367,38170
0,88000;-0,05423;376,04847
0,90000;-0,05255;384,57962
0,92000;-0,05088;392,97654
0,94000;-0,04921;401,66392
0,96000;-0,04759;410,21421
0,98000;-0,04598;418,16910
1,00000;-0,04430;426,18522
1,02000;-0,04263;434,30952
1,04000;-0,04096;442,99117
1,06000;-0,03928;451,17093
1,08000;-0,03755;459,61658
1,10000;-0,03599;467,94172
1,12000;-0,03432;475,56157
1,14000;-0,03265;482,81774
1,16000;-0,03091;491,45157
1,18000;-0,02924;500,25959
1,20000;-0,02750;508,47260
1,22000;-0,02595;516,47266
1,24000;-0,02433;523,84930
1,26000;-0,02266;531,49117
1,28000;-0,02099;539,61393
1,30000;-0,01931;548,03211
1,32000;-0,01758;556,12493
1,34000;-0,01596;564,90931
1,36000;-0,01429;572,73908
1,38000;-0,01262;580,82459
1,40000;-0,01094;588,74120
1,42000;-0,00933;595,85432
1,44000;-0,00759;603,21419
1,46000;-0,00592;611,30091
1,48000;-0,00430;619,84584
1,50000;-0,00257;628,14225
1,52000;-0,00096;635,62244
1,54000;0,00072;643,08890
1,56000;0,00233;650,18386
1,58000;0,00401;657,89372
1,60000;0,00562;666,15772
1,62000;0,00729;673,88159
1,64000;0,00903;682,33358
1,66000;0,01070;690,03194
1,68000;0,01232;697,86487
1,70000;0,01399;705,79983
1,72000;0,01561;713,71621
1,74000;0,01734;721,72256
1,76000;0,01901;730,32696
1,78000;0,02069;738,32446
1,80000;0,02236;746,54985
1,82000;0,02398;754,34451
1,84000;0,02565;762,24706
1,86000;0,02726;769,65420
1,88000;0,02894;777,49677
1,90000;0,03067;786,13786
1,92000;0,03235;794,43902
1,94000;0,03402;802,19749
1,96000;0,03569;810,04305
1,98000;0,03731;817,47947
2,00000;0,03898;825,62454
2,02000;0,04066;833,48919
2,04000;0,04239;841,40832
2,06000;0,04406;848,76595
2,08000;0,04574;856,58757
2,10000;0,04729;864,14982
2,12000;0,04897;872,09688
2,14000;0,05064;880,07273
2,16000;0,05238;887,62334
2,18000;0,05399;895,02130
2,20000;0,05572;902,78033
2,22000;0,05740;911,16773
2,24000;0,05901;919,56826
2,26000;0,06075;927,29237
2,28000;0,06242;934,97932
2,30000;0,06409;942,96578
2,32000;0,06583;951,67719
2,34000;0,06744;960,43339
2,36000;0,06906;968,34535
2,38000;0,07073;975,32757
2,40000;0,07241;982,44185
2,42000;0,07408;990,36051
2,44000;0,07575;998,51610
2,46000;0,07743;1006,27188
2,48000;0,07898;1013,83794
2,50000;0,08072;1021,22463
2,52000;0,08239;1028,40597
2,54000;0,08406;1035,83224
2,56000;0,08574;1043,96380
2,58000;0,08741;1051,22877
2,60000;0,08903;1058,46841
2,62000;0,09070;1066,05571
2,64000;0,09237;1073,18573
2,66000;0,09399;1080,29246
2,68000;0,09566;1088,32922
2,70000;0,09740;1096,74949
2,72000;0,09901;1104,09390
2,74000;0,10063;1111,16283
2,76000;0,10236;1118,48721
2,78000;0,10403;1126,00951
2,80000;0,10571;1134,01124
2,82000;0,10738;1142,07892
2,84000;0,10906;1149,54924
2,86000;0,11067;1156,80369
2,88000;0,11234;1164,05338
2,90000;0,11408;1171,34489
2,92000;0,11575;1178,89363
2,94000;0,11743;1186,05271
2,96000;0,11910;1193,20834
2,98000;0,12071;1201,08584
3,00000;0,12239;1207,94307
3,02000;0,12406;1214,87454
3,04000;0,12574;1222,79776
3,06000;0,12741;1229,77141
3,08000;0,12915;1237,09384
3,10000;0,13070;1244,23476
3,12000;0,13237;1250,72422
3,14000;0,13399;1257,04277
3,16000;0,13566;1263,50941
3,18000;0,13734;1270,83370
3,20000;0,13907;1277,98235
3,22000;0,14068;1285,44942
3,24000;0,14230;1292,13911
3,26000;0,14403;1298,69385
3,28000;0,14565;1305,37078
3,30000;0,14726;1311,72650
3,32000;0,14900;1318,64343
3,34000;0,15073;1325,59482
3,36000;0,15234;1332,98198
3,38000;0,15402;1340,02995
3,40000;0,15563;1346,56327
3,42000;0,15737;1352,64825
3,44000;0,15898;1359,28923
3,46000;0,16065;1365,49100
3,48000;0,16233;1372,23620
3,50000;0,16394;1378,26605
3,52000;0,16568;1384,77888
3,54000;0,16735;1391,48505
3,56000;0,16902;1398,17484
3,58000;0,17070;1404,08417
3,60000;0,17231;1410,25335
3,62000;0,17405;1416,28217
3,64000;0,17578;1422,45600
3,66000;0,17740;1428,97610
3,68000;0,17907;1434,09465
3,70000;0,18074;1438,82371
3,72000;0,18236;1444,72886
3,74000;0,18391;1450,21323
3,76000;0,18571;1455,58184
3,78000;0,18738;1461,40978
3,80000;0,18899;1466,67538
3,82000;0,19067;1472,05163
3,84000;0,19234;1477,10219
3,86000;0,19390;1481,91005
3,88000;0,19557;1486,80508
3,90000;0,19731;1493,01272
3,92000;0,19898;1498,49989
3,94000;0,20065;1504,24140
3,96000;0,20233;1509,55832
3,98000;0,20394;1514,71226
4,00000;0,20562;1519,33022
4,02000;0,20729;1524,11805
4,04000;0,20890;1529,18268
4,06000;0,21058;1534,28968
4,08000;0,21231;1539,22662
4,10000;0,21393;1544,09949
4,12000;0,21560;1548,58865
4,14000;0,21722;1552,74710
4,16000;0,21865;1557,23505
4,18000;0,22062;1562,43704
4,20000;0,22242;1568,72924
4,22000;0,22409;1574,52095
4,24000;0,22565;1578,63777
4,26000;0,22732;1582,10527
4,28000;0,22899;1586,11666
4,30000;0,23061;1590,72820
4,32000;0,23228;1595,18253
4,34000;0,23396;1599,31462
4,36000;0,23563;1604,23890
4,38000;0,23730;1608,31213
4,40000;0,23898;1612,36823
4,42000;0,24059;1616,68845
4,44000;0,24209;1620,72517
4,46000;0,24400;1625,14262
4,48000;0,24568;1630,94979
